group,f1
passed,0.0
passed,0.0
passed,0.10256410256410257
failed,0.0
failed,0.0
failed,0.13333333333333333
failed,0.0
failed,0.0
failed,0.0
failed,0.0
failed,0.0
failed,0.0
failed,0.0
failed,0.13333333333333333
failed,0.0
failed,0.0
failed,0.0
failed,0.0
failed,0.0
failed,0.0
failed,0.13333333333333333
failed,0.0
failed,0.0
failed,0.0
failed,0.0
failed,0.0
failed,0.0
failed,0.13333333333333333
failed,0.13333333333333333
failed,0.13333333333333333
failed,0.13333333333333333
failed,0.13333333333333333
failed,0.13333333333333333
failed,0.0
failed,0.0
failed,0.0
failed,0.0
failed,0.0
failed,0.0
failed,0.0
failed,0.0
failed,0.0
failed,0.0
failed,0.0
failed,0.0
failed,0.0
failed,0.0
failed,0.0
failed,0.0
failed,0.0
failed,0.0
failed,0.0
failed,0.0
failed,0.0
failed,0.0
failed,0.0
failed,0.0
failed,0.0
failed,0.0
failed,0.0
failed,0.0
failed,0.0
failed,0.0
failed,0.0
failed,0.0
failed,0.0
failed,0.0
failed,0.0
failed,0.0
failed,0.0
failed,0.0
failed,0.0
failed,0.0
failed,0.0
failed,0.0
failed,0.0
failed,0.0
failed,0.0
failed,0.0
failed,0.0
failed,0.0
failed,0.0
failed,0.0
failed,0.0
failed,0.0
failed,0.0
failed,0.0
failed,0.0
failed,0.0
failed,0.0
failed,0.0
failed,0.0
failed,0.0
failed,0.0
failed,0.0
failed,0.0
failed,0.0
failed,0.0
failed,0.0
failed,0.0
failed,0.0
failed,0.0
failed,0.0
failed,0.0
failed,0.0
failed,0.0
failed,0.0
failed,0.0
failed,0.0
failed,0.0
failed,0.0
failed,0.0
failed,0.0
failed,0.0
failed,0.0
failed,0.0
failed,0.0
failed,0.0
failed,0.0
failed,0.0
failed,0.0
failed,0.0
failed,0.0
failed,0.0
failed,0.0
failed,0.0
failed,0.0
failed,0.0
failed,0.0
failed,0.0
failed,0.0
failed,0.0
failed,0.0
failed,0.0
failed,0.0
failed,0.0
failed,0.0
failed,0.0
failed,0.0
failed,0.0
failed,0.0
failed,0.0
failed,0.0
failed,0.0
failed,0.0
failed,0.0
failed,0.0
failed,0.0
failed,0.0
failed,0.0
failed,0.0
failed,0.0
failed,0.0
failed,0.0
failed,0.0
failed,0.0
failed,0.0
failed,0.0
failed,0.0
failed,0.0
failed,0.0
failed,0.0
failed,0.0
failed,0.0
failed,0.0
failed,0.0
failed,0.0
failed,0.0
failed,0.0
failed,0.0
failed,0.3333333333333333
failed,0.0
failed,0.0
failed,0.0
failed,0.0
failed,0.0
failed,0.0
failed,0.0
failed,0.3333333333333333
failed,0.0
failed,0.0
failed,0.0
failed,0.0
failed,0.0
failed,0.0
failed,0.3333333333333333
failed,0.0
failed,0.0
failed,0.0
failed,0.0
failed,0.0
failed,0.0
failed,0.3333333333333333
failed,0.3333333333333333
failed,0.3333333333333333
failed,0.3333333333333333
failed,0.3333333333333333
failed,0.3333333333333333
failed,0.0
failed,0.0
failed,0.0
failed,0.0
failed,0.0
failed,0.0
failed,0.0
failed,0.0
failed,0.0
failed,0.0
failed,0.0
failed,0.0
failed,0.0
failed,0.0
failed,0.0
failed,0.0
failed,0.0
failed,0.0
failed,0.0
failed,0.0
failed,0.0
failed,0.0
failed,0.0
failed,0.0
failed,0.0
failed,0.0
failed,0.0
failed,0.0
failed,0.0
failed,0.0
failed,0.0
failed,0.0
failed,0.0
failed,0.0
failed,0.0
failed,0.0
failed,0.0
failed,0.0
failed,0.0
failed,0.0
failed,0.0
failed,0.0
failed,0.0
failed,0.0
failed,0.0
failed,0.0
failed,0.0
failed,0.0
failed,0.0
failed,0.0
failed,0.0
failed,0.0
failed,0.0
failed,0.0
failed,0.0
failed,0.0
failed,0.0
failed,0.0
failed,0.0
failed,0.0
failed,0.0
failed,0.0
failed,0.0
failed,0.0
failed,0.0
failed,0.0
failed,0.0
failed,0.0
failed,0.0
failed,0.0
failed,0.0
failed,0.0
failed,0.0
failed,0.0
failed,0.0
failed,0.0
failed,0.0
failed,0.0
failed,0.0
failed,0.0
failed,0.0
failed,0.0
failed,0.0
failed,0.0
failed,0.0
failed,0.0
failed,0.0
failed,0.0
failed,0.0
failed,0.0
failed,0.0
failed,0.0
failed,0.0
failed,0.0
failed,0.0
failed,0.0
failed,0.0
failed,0.0
failed,0.0
failed,0.0
failed,0.0
failed,0.0
failed,0.0
failed,0.0
failed,0.0
failed,0.0
failed,0.0
failed,0.0
failed,0.0
failed,0.0
failed,0.0
failed,0.0
failed,0.0
failed,0.0
failed,0.0
failed,0.0
failed,0.0
failed,0.0
failed,0.0
failed,0.0
failed,0.0
failed,0.0
failed,0.0
failed,0.0
failed,0.0
failed,0.0
failed,0.0
failed,0.0
failed,0.0
failed,0.0
failed,0.0
failed,0.0
failed,0.0
failed,0.0
failed,0.0
failed,0.0
failed,0.0
failed,0.0
failed,0.0
failed,0.0
failed,0.0
failed,0.0
failed,0.0
failed,0.0
failed,0.0
failed,0.0
failed,0.0
failed,0.0
failed,0.0
failed,0.0
failed,0.0
failed,0.0
failed,0.0
failed,0.0
failed,0.0
failed,0.0
failed,0.0
failed,0.0
failed,0.0
failed,0.0
failed,0.0
failed,0.0
failed,0.0
failed,0.0
failed,0.0
failed,0.0
failed,0.0
failed,0.0
failed,0.0
failed,0.0
failed,0.0
failed,0.0
failed,0.0
failed,0.0
failed,0.0
failed,0.0
failed,0.0
failed,0.0
failed,0.0
failed,0.0
failed,0.0
failed,0.0
failed,0.0
failed,0.0
failed,0.0
failed,0.0
failed,0.0
failed,0.0
failed,0.0
failed,0.0
failed,0.0
failed,0.0
failed,0.0
failed,0.0
failed,0.0
failed,0.0
failed,0.0
failed,0.0
failed,0.0
failed,0.0
failed,0.0
failed,0.0
failed,0.0
failed,0.0
failed,0.0
failed,0.0
failed,0.0
failed,0.0
failed,0.0
failed,0.0
failed,0.0
failed,0.0
failed,0.0
failed,0.0
failed,0.0
failed,0.0
failed,0.0
failed,0.0
failed,0.0
failed,0.0
failed,0.0
failed,0.0
failed,0.0
failed,0.0
failed,0.0
failed,0.0
failed,0.0
failed,0.0
failed,0.0
failed,0.0
failed,0.0
failed,0.0
failed,0.0
failed,0.0
failed,0.0
failed,0.0
failed,0.0
failed,0.0
failed,0.0
failed,0.0
failed,0.0
failed,0.0
failed,0.0
failed,0.0
failed,0.0
failed,0.0
failed,0.0
failed,0.0
failed,0.0
failed,0.0
failed,0.0
failed,0.0
failed,0.0
failed,0.0
failed,0.0
failed,0.0
failed,0.0
failed,0.0
failed,0.0
failed,0.0
failed,0.0
failed,0.0
failed,0.0
failed,0.0
failed,0.0
failed,0.0
failed,0.0
failed,0.0
failed,0.0
failed,0.0
failed,0.0
failed,0.0
failed,0.0
failed,0.0
failed,0.0
failed,0.0
failed,0.0
failed,0.0
failed,0.0
failed,0.0
failed,0.0
failed,0.0
failed,0.0
failed,0.0
failed,0.0
failed,0.0
failed,0.0
failed,0.0
failed,0.0
failed,0.0
failed,0.0
failed,0.0
failed,0.0
failed,0.0
failed,0.0
failed,0.0
failed,0.0
failed,0.0
failed,0.0
failed,0.0
